theta_bar,x_c,y_c,vx_c,vy_c,t_bar,nx_s,ny_s,nz_s,lam_x,lam_y,lam_vx,lam_vy,lam_t_bar
5.000000000000000104e-03,3.062367413484659312e-16,1.000245104340875768e+00,-9.998211283069365907e-01,7.270923627389931502e-05,5.000658796445212571e-03,3.237980303021210093e-01,9.460428964180001010e-01,-1.255681924325843628e-02,0.000000000000000000e+00,0.000000000000000000e+00,2.373452295064725437e+00,1.741367951498295347e-02,0.000000000000000000e+00
5.250000000000000326e-03,-1.564743750197932215e-01,9.879403222890464908e-01,-9.875104412825193023e-01,-1.563511033737444711e-01,5.250767416540876378e-03,3.191761064667532066e-01,9.056953461334597000e-01,-2.790027832350718828e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.346968663218036433e+00,3.816213788738454515e-01,0.000000000000000000e+00
5.499999999999999681e-03,-3.090980055738435928e-01,9.513058431283241134e-01,-9.508812117171081546e-01,-3.089234218245329733e-01,5.500880276356231828e-03,3.339130857066226477e-01,7.909564464031483277e-01,-5.127279503666493099e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.262589284667993361e+00,7.371500010452447516e-01,0.000000000000000000e+00
5.749999999999999903e-03,-4.541112680018151160e-01,8.912435452486260345e-01,-8.908353493773178977e-01,-4.538874070107477565e-01,5.750995827320612257e-03,3.638600229087241011e-01,6.362861834485086243e-01,-6.802541998998562489e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.122460688737776824e+00,1.074666102253926780e+00,0.000000000000000000e+00
6.000000000000000125e-03,-5.879419428734984354e-01,8.092326604577791960e-01,-8.088513516461943720e-01,-5.876735803941511849e-01,6.001112435931238442e-03,4.034380747720692773e-01,4.753836566866060931e-01,-7.818235726680777820e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.930277947639306602e+00,1.385329020759991314e+00,0.000000000000000000e+00
6.250000000000000347e-03,-7.072933237397073247e-01,7.072933237397065476e-01,-7.069478976375817014e-01,-7.069877010546965490e-01,6.251228422852563027e-03,4.477808825119334868e-01,3.255065495470315651e-01,-8.327891494603060218e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.691169922998892350e+00,1.661060526582270658e+00,0.000000000000000000e+00
6.500000000000000569e-03,-8.092255280005042906e-01,5.879367608399597156e-01,-5.876341471492805280e-01,-8.088918709025061382e-01,6.501342103389181996e-03,4.933801006807275180e-01,1.916163336071262102e-01,-8.484451997313896543e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.411534304950746277e+00,1.894785815568453380e+00,0.000000000000000000e+00
6.749999999999999924e-03,-8.912279953104050856e-01,4.541033449125522758e-01,-4.538479636562604003e-01,-8.908768731101549543e-01,6.751451829586155307e-03,5.379212438621897574e-01,7.333140355012815470e-02,-8.397995240860303134e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.098830287431528996e+00,2.080635790605306568e+00,0.000000000000000000e+00
7.000000000000000146e-03,-9.512813769969742372e-01,3.090900560458781365e-01,-3.088835793474889457e-01,-9.509239605986592458e-01,7.001556033517889778e-03,5.799585748876510127e-01,-3.124444959855552512e-02,-8.140465808438532846e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.613388565769461103e-01,2.214102895680280181e+00,0.000000000000000000e+00
7.250000000000000368e-03,-9.879072839140136120e-01,1.564691422552550726e-01,-1.563104819082955788e-01,-9.875545703839309075e-01,7.251653270783953685e-03,6.186476105139047110e-01,-1.240496174574250987e-01,-7.758136544390685785e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.079020831379741585e-01,2.292145556377672477e+00,0.000000000000000000e+00
