vx,vy,vz
3.642870187221035849e+03,2.506624044166396743e+03,6.051179414272046415e+02
3.331032855863873465e+03,2.719757794042388014e+03,1.194877617044840008e+03
2.937169653855525212e+03,2.865927508329690681e+03,1.755227727030904134e+03
2.470978608141147561e+03,2.941533964436464885e+03,2.272370699796550525e+03
1.943938651489344920e+03,2.944715413118222841e+03,2.733572864089097948e+03
1.369027023294180708e+03,2.875393415266309148e+03,3.127477942259312840e+03
7.603997682024368032e+02,2.735274792332991638e+03,3.444386672204377646e+03
1.330431882277547970e+02,2.527809625381897149e+03,3.676495657267134902e+03
-4.975951709044937274e+02,2.258106325449707128e+03,3.818089546978310409e+03
-1.115986909325479246e+03,1.932805860182986635e+03,3.865681804041224041e+03
-1.706905165727176382e+03,1.559918231547905407e+03,3.818100582692478383e+03
-2.255799589994754115e+03,1.148625231978618331e+03,3.676517598749906483e+03
-2.749154655820197604e+03,7.090543386980772311e+02,3.444419278919670887e+03
-3.174822485100787162e+03,2.520293175540325308e+02,3.127520900934375277e+03
-3.522321985665913417e+03,-2.111963187403315487e+02,2.733625841784630666e+03
-3.783096935438453329e+03,-6.692164315115870750e+02,2.272433403801377153e+03
-3.950726658833504189e+03,-1.110753130198716917e+03,1.755299954660155208e+03
-4.021084109796619487e+03,-1.524934482308163297e+03,1.194959266375561128e+03
-3.992437471652290242e+03,-1.901562220896724284e+03,6.052089421267169200e+02
-3.865492774886438838e+03,-2.231362858353051706e+03,5.706536672871737048e-01
-3.643376486103122261e+03,-2.506216024392959298e+03,-6.040674440732541370e+02
-3.331558498883170614e+03,-2.719354407251724751e+03,-1.193817316650811335e+03
-2.937717424101380857e+03,-2.865530376275902199e+03,-1.754157646001868443e+03
-2.471551497211816695e+03,-2.941145184287299344e+03,-2.271291393084045012e+03
-1.944539758495391652e+03,-2.944337569151379284e+03,-2.732485524201198132e+03
-1.369659386115912412e+03,-2.875029573240615264e+03,-3.126384536952739836e+03
-7.610661412314684640e+02,-2.734928452497944818e+03,-3.443290066480272344e+03
-1.337457925418033255e+02,-2.527484627571258898e+03,-3.675399687366402304e+03
4.968548975776723182e+02,-2.257806711590893428e+03,-3.816999030683317869e+03
1.115208539566449645e+03,-1.932535705852199044e+03,-3.864602484560185530e+03
1.706089469752834702e+03,-1.559681460178313046e+03,-3.817039012202545564e+03
2.254948674163485521e+03,-1.148425424187210410e+03,-3.675480972336434661e+03
2.748272049193650219e+03,-7.088945463800578182e+02,-3.443415230682502170e+03
3.173913174752533450e+03,-2.519118892119652457e+02,-3.126557272559763533e+03
3.521392402675170615e+03,2.112698974131210718e+02,-2.732710431290537599e+03
3.782154892761222072e+03,6.692456789012373974e+02,-2.271573699826976281e+03
3.949781240397928741e+03,1.110738688723268069e+03,-1.754502860490919829e+03
4.020145508398217316e+03,1.524878212476656472e+03,-1.194230818467778136e+03
3.991516772412767295e+03,1.901467263019844495e+03,-6.045540300113591456e+02
3.864601681962255043e+03,2.231233653718696587e+03,7.248490662755463151e-03
3.642526993170595233e+03,2.506058286882031098e+03,6.045665202667640870e+02
3.330762508648192124e+03,2.719175036860766795e+03,1.194237608829030705e+03
