nx,ny,nz
-5.228685429165750298e-01,-6.494449344731207940e-01,-5.521139048380337977e-01
-4.322583228322597892e-01,-6.783729720646264338e-01,-5.941067691202041035e-01
-3.305836188792576347e-01,-7.039273176016908051e-01,-6.286499840632958636e-01
-2.169544925637318378e-01,-7.264811283472610848e-01,-6.520398134406394375e-01
-9.043535726077422954e-02,-7.467369279440022600e-01,-6.589426428771096855e-01
4.972879349435253143e-02,-7.656268785953497247e-01,-6.413599066592311493e-01
2.031234177015364961e-01,-7.837387869196428269e-01,-5.869364455023846627e-01
3.649224590684749248e-01,-7.994969170509513834e-01,-4.771124379990960840e-01
5.177606973821239356e-01,-8.051406605911590741e-01,-2.892617792056331738e-01
6.211102081643831152e-01,-7.835681085558361403e-01,-1.559258055056569198e-02
6.249849041178008324e-01,-7.211658359218353631e-01,2.988539889712429343e-01
5.255032625154995030e-01,-6.347669273381163491e-01,5.664956037281247969e-01
3.740303755359819515e-01,-5.597354124637021755e-01,7.394576027133006324e-01
2.188716411054028588e-01,-5.146914944795906166e-01,8.289679548873969406e-01
8.109408318391629622e-02,-4.992804497625253357e-01,8.626371091933678903e-01
-3.456557776728173131e-02,-5.065953599960983933e-01,8.614907788618735296e-01
-1.290538271226406020e-01,-5.297083000249922513e-01,8.383043758621521180e-01
-2.046035584113925776e-01,-5.632284011654716815e-01,8.005692674628361871e-01
-2.634129365287444235e-01,-6.032326966365517684e-01,7.528106923907880166e-01
-3.073518839552469850e-01,-6.469016911528266967e-01,6.978918407695945403e-01
-3.379463590386502791e-01,-6.921924894883419999e-01,6.377004123477193476e-01
-3.564161743099524826e-01,-7.375931697818035593e-01,5.735188110092718228e-01
-3.637121901376737521e-01,-7.819421516900414426e-01,5.062409645174962280e-01
-3.605475493885431648e-01,-8.242930328337738644e-01,4.365162776479418194e-01
-3.474289744041612615e-01,-8.638119891800617456e-01,3.648588152878556312e-01
-3.246948110209382787e-01,-8.997009531978179542e-01,2.917387093119717667e-01
-2.925645615282784218e-01,-9.311440230854656219e-01,2.176620904291328706e-01
-2.512021944555449249e-01,-9.572772645170763983e-01,1.432399955997696317e-01
-2.007927654824147867e-01,-9.771835375600848028e-01,6.924304478777830452e-02
-1.416286026673129195e-01,-9.899141497652641508e-01,-3.363777789757374601e-03
-7.419746811273743303e-02,-9.945377034282616435e-01,-7.341316084530276342e-02
7.387825714006164947e-04,-9.902132402560551716e-01,-1.395607144647670328e-01
8.208929861633834646e-02,-9.762799293505221021e-01,-2.003468157970498265e-01
1.684174136713073033e-01,-9.523501387843625876e-01,-2.542927209529859955e-01
2.579722315692954959e-01,-9.183886563650877077e-01,-3.000210052631089863e-01
3.487706791369079573e-01,-8.747602618360871274e-01,-3.363829628367649982e-01
4.387212235954004447e-01,-8.222322261706747071e-01,-3.625711712386565089e-01
5.257703094653292109e-01,-7.619272310045132057e-01,-3.781963462786591124e-01
