x,y,z
-2.231754620099660940e+06,1.013085641331578232e+07,1.712904081599326804e+07
-5.006516364595437422e+06,8.671540712404344231e+06,1.734308142480867729e+07
-7.658147293450396508e+06,6.998591614063607529e+06,1.713003752314649150e+07
-1.012132533996490389e+07,5.153202161388800479e+06,1.649512810645997152e+07
-1.233536571243929304e+07,3.180818141249205917e+06,1.545396728381776251e+07
-1.424571767016525008e+07,1.130018187695263652e+06,1.403218067904689908e+07
-1.580531013681675494e+07,-9.486836215650658123e+05,1.226477466082740575e+07
-1.697571285243153200e+07,-3.004083071562676691e+06,1.019527397021168098e+07
-1.772808434740961716e+07,-4.985548230843308382e+06,7.874649059024978429e+06
-1.804388331476151943e+07,-6.844267782908351161e+06,5.360059659143166617e+06
-1.791532582570830733e+07,-8.534454425989573821e+06,2.713445643154455349e+06
-1.734557712811478972e+07,-1.001447362416651472e+07,-3.825744306950229784e-08
-1.634867333185474202e+07,-1.124786985130419023e+07,-2.713438353396841325e+06
-1.494917495571121760e+07,-1.220426501156891510e+07,-5.360032240089407191e+06
-1.318156092651944980e+07,-1.286010688281451166e+07,-7.874593700323581696e+06
-1.108937802178523690e+07,-1.319924913336910494e+07,-1.019519062101881951e+07
-8.724166779623404145e+06,-1.321334861973168515e+07,-1.226467287159138545e+07
-6.144190418975618668e+06,-1.290207018304085545e+07,-1.403208028603943996e+07
-3.412998183824514970e+06,-1.227309391809374467e+07,-1.545389774687840231e+07
-5.978586257512195734e+05,-1.134192477586373314e+07,-1.649512640602338687e+07
2.231898437067746650e+06,-1.013150925796082802e+07,-1.713014463210869208e+07
5.006590284545936622e+06,-8.671668745514130220e+06,-1.734333749102833122e+07
7.657897740116943605e+06,-6.998363553437384777e+06,-1.712947931268078834e+07
1.012054726439203136e+07,-5.152806009641011246e+06,-1.649386004562613554e+07
1.233391720085222647e+07,-3.180444625616022386e+06,-1.545215256253590994e+07
1.424352876247019507e+07,-1.129844556182680186e+06,-1.403002458210753277e+07
1.580238533181147836e+07,9.485080657183224102e+05,-1.226250503916183300e+07
1.697212736480585486e+07,3.003448570804296993e+06,-1.019312059798046015e+07
1.772397467759726569e+07,4.984392496435713954e+06,-7.872823582177761011e+06
1.803943309205923229e+07,6.842579758477210067e+06,-5.358737689877143130e+06
1.791074818141968548e+07,8.532273740193527192e+06,-2.712752315605150536e+06
1.734109504863119870e+07,1.001188589437013306e+07,-2.548405985401946761e-08
1.634449953453744575e+07,1.124499828319226019e+07,2.712745615736034233e+06
1.494549283148607612e+07,1.220125898481615633e+07,5.358712013079012744e+06
1.317850800719578750e+07,1.285712841394992732e+07,7.872769902716703713e+06
1.108703326236222684e+07,1.319645825873928517e+07,1.019303493030017987e+07
8.722542697742991149e+06,1.321088883639486320e+07,1.226238969275240786e+07
6.143230808243729174e+06,1.290005511446912400e+07,1.402988873045340739e+07
3.412581721062858123e+06,1.227159632380481251e+07,1.545201202277635969e+07
5.978082388552110642e+05,1.134096889037493244e+07,1.649373621412212588e+07
-2.231801059305883944e+06,1.013106722006219253e+07,1.712939724364519492e+07
-5.006586141229875386e+06,8.671661569080311805e+06,1.734332313816064224e+07
-7.658229467040323652e+06,6.998666710477320477e+06,1.713022133218345791e+07
-1.012143748256709985e+07,5.153259258012061939e+06,1.649531086973723210e+07
-1.233554833546267450e+07,3.180865232728937175e+06,1.545419607721492089e+07
-1.424602624425136857e+07,1.130042664828439476e+06,1.403248462774415500e+07
-1.580580567505492643e+07,-9.487133653035146417e+05,1.226515919392258301e+07
-1.697645211408985406e+07,-3.004213893958912697e+06,1.019571795599347912e+07
-1.772911068400170654e+07,-4.985836860482091084e+06,7.875104948128442280e+06
-1.804521903539514914e+07,-6.844774438240773976e+06,5.360456444145558402e+06
-1.791696672915947065e+07,-8.535236115134254098e+06,2.713694173511301167e+06
-1.734748957110518590e+07,-1.001557777364182845e+07,-3.401275164266957105e-08
-1.635079391481204703e+07,-1.124932881012169272e+07,-2.713790312911291607e+06
-1.495141264806005545e+07,-1.220609182746489160e+07,-5.360834565513308160e+06
-1.318380125313614309e+07,-1.286229257538200729e+07,-7.875932059411937371e+06
-1.109148881034829281e+07,-1.320176152171570808e+07,-1.019713120702109858e+07
-8.726004929210169241e+06,-1.321613262328390591e+07,-1.226725699268166721e+07
-6.145609182958759367e+06,-1.290504941891008243e+07,-1.403532045419190638e+07
-3.413854542691389564e+06,-1.227617337264787219e+07,-1.545777530017615855e+07
-5.980204287358914735e+05,-1.134499432642602362e+07,-1.649959060637166724e+07
2.232545787576952949e+06,-1.013444784941646829e+07,-1.713511314127826691e+07
5.008137769500743598e+06,-8.674349068080099300e+06,-1.734869813616012782e+07
7.660407435740151443e+06,-7.000657102264624089e+06,-1.713509309608712047e+07
